Protein_Accession,Gene_Name,Protein_Descriptions,Protein_Name,Number_Unique_Peptides,NR_1.Post_1,NR_1.Pre_2,NR_2.Post_3,NR_2.Pre_4,R_16.Post_5,R_16.Pre_6,R_17.Post_7.,R_17.Pre_8,NR_3.Post_9,NR_3.Pre_10,R_18.Post_11,R_18.Pre_12,R_19.Post_13,R_19.Pre_14,R_20.Post_15,R_20.Pre_16,R_21.Post_17,R_21.Pre_18,R_22.Post_19,R_22.Pre_20,NR_5.Post_21,NR_5.Pre_22,R_23.Post_23,R_23.Pre_24,R_24.Post_25,R_24.Pre_26,NR_6.Post_27,NR_6.Pre_28,R_25.Post_29,R_25.Pre_30,NR_7.Post_31,NR_7.Pre_32,NR_8.Post_33,NR_8.Pre_34,R_29.Post_35,R_29.Pre_36,NR_12.Post_37,NR_12.Pre_38,R_30.Post_39,R_30.Pre_40,NR_13.Post_41,NR_13.Pre_42,NR_14.Post_43,NR_14.Pre_44,NR_15.Post_45,NR_15.Pre_46,R_26.Post_47,R_26.Pre_48,R_28.Post_49,R_28.Pre_50,NR_10.Post_51,NR_10.Pre_52,NR_11.Post_53,NR_11.Pre_54
P02788,LTF,Lactotransferrin,TRFL_HUMAN,92,7590481,10999058,1521112.25,4237157.5,6573813.5,5732237,20123400,13290591,6520440,7078301.5,2513305.25,7509429,13158295,8611788,13597776,6000860.5,14206957,8253845,12828722,8723311,4767098.5,4624280,10217484,10413541,2796611.5,2078220.625,16529599,9846496,13589441,34712292,12676845,14486733,13718212,8908414,5592905.5,16352735,6151852,4771505.5,6781762,7078166,5649708.5,6784013.5,2394718.25,4615768,11172026,6124584,8807521,6575737,8512807,4898335.5,6458849.5,20409968,9480226,8960439
P01833,PIGR,Polymeric immunoglobulin receptor,PIGR_HUMAN,55,4029432.5,10122105,3840279.75,4149868.25,8529817,3994635.5,17367006,8036911,9814840,10594563,1658657.625,6287397.5,8349989.5,4770647,15623082,9045758,18241608,8349135,12549540,9904307,2946988.75,2323857,13446898,10396547,2433855.75,3643211.75,14559513,8087352.5,9264772,21059866,8679934,15499193,8001466,8312737.5,7567527.5,7975111.5,7856357.5,7553553.5,9297428,10447502,8432817,7521937,2707295.25,5382573,12960206,7606727,11861240,7587100,8789250,8361975.5,11767162,17522516,10764012,8437029
P01591,JCHAIN,Immunoglobulin J chain,IGJ_HUMAN,15,4876816,11664518,2561521,3368311,8850506,2555466.75,12330765,5211971,9675503,12011879,2028409.875,3854414.5,6160650,4007491.75,15292064,9778880,13921439,8495382,8893988,6449278,3076384,2367874.5,11179609,9372275,1752994.5,2762856.75,5495761.5,3236082.75,7359800,16671929,10011048,17206874,6839785,9378099,5199971,13183104,8335593,6008589,7917521,6802317,8660459,6832063.5,2259556.75,4122031.25,9184787,4324514,12539046,6994197,6646124,7010971,10248936,12427273,10968444,8429106
P0DOX7,,Immunoglobulin kappa light chain,IGK_HUMAN,18,5552901.5,7080326.5,3400742,4998770.5,6603412.5,4663425,9796958,6000766,8670049,10004934,3781944.25,4549279,6104193,4885247,11972975,5840142.5,9180966,7454422.5,7841866.5,6226547.5,7267671,4930289,11238056,8873776,3045566.75,4148858.5,8818830,4722028,8840272,20857604,6705638.5,8932327,8646453,6282177.5,7237952,8531512,6462995.5,8419771,8450077,8171743,6742276,8748812,2925277.5,6410825.5,8245261.5,7951079.5,10718082,6432974,7758785.5,7749771.5,9056374,12304372,8026773.5,7858303
P0DOX5,,Immunoglobulin gamma-1 heavy chain,IGG1_HUMAN,27,5952125.5,4023168,782377.8125,4155718.5,11081893,8948802,4880434,5292799.5,3544191,6963545,5945240,5148817,2220200,3644803.75,7135214.5,5816678,5414341.5,4547674.5,1944971.375,4039205.25,12848027,6855660.5,4427191.5,4349997,1453078.25,1973490.5,13256667,5824745.5,9793215,33442962,1526825.375,1663479.25,12552211,6468620,5524506,5120209,4560902,15695153,6813200.5,7538301,3258148,10483163,1060095.125,2360440.5,5162438.5,10899091,2364698.25,2180394.25,3268419.75,4115311,6179783,14790250,6228921,8522722
P0DOY3,IGLC3,Immunoglobulin lambda constant 3,IGLC3_HUMAN,7,3225069.25,8467865,2208625,2082008.375,12516368,3436578.75,8821673,3945087.75,10033783,9082906,2999708.5,3444887.25,4725243,3566593.75,17300824,8535377,7469375,4895731,6007539.5,4602663,4630088,3037183,9538106,6796388,1275762.25,2001369.875,6901840.5,3782884.25,7281289,18422316,4333221.5,6071262,7295940,4880045.5,3596135.25,9280048,6251673,8912548,4397584.5,3911267.75,6241085.5,6522755,1076906.25,2123085.25,5358546.5,3521594,7176474.5,4514269.5,5053189,5262170.5,6542122.5,8411074,7698781,7493028
Q9HC84,MUC5B,Mucin-5B,MUC5B_HUMAN,129,7756487.5,3753871.25,7013359.5,5958231.5,6296437,9165767,10976270,15472353,5567233,5946544,402436.4688,4119361.5,18860274,10648877,1508466.125,3252618.75,4355850,6436468,7488394,6731350,3644574,2588991.75,7664032,5098080,3616605.25,3666632.75,10741988,9079672,3990231.5,10347462,829196.875,1418002,4669496,3503377.25,3186733.25,851081.125,3980214.75,5250867.5,6014605,4610335.5,8204149.5,14085644,5023887.5,6843634.5,4971995.5,4400184.5,9476198,6778952.5,4292363.5,9653007,4651238,15007796,2281238,3225594
Q96DA0,ZG16B,Zymogen granule protein 16 homolog B,ZG16B_HUMAN,12,4382890,1790678.25,9308053,3867798.75,1276995.125,4089771.25,8251720.5,7688166.5,2714533.5,3517744.25,170122.3281,5260422.5,8649813,7948835,1840262.375,1388492.875,2336827.5,3892638,13999461,8435299,3550493.5,1509243,7162728,1904461.375,10722281,6852747,14576796,7894756,10073552,24246666,3062999.25,3266886.75,3789596,2536278.25,3607725.25,758186.75,3888449,5701762.5,2501979.75,3273427.5,3911533.25,5151889,1544019.375,2865314.5,2426371.5,3326599,5219629,6581791,6291517,12196567,7957139.5,16247383,4060449.5,2441919.5
A0M8Q6,IGLC7,Immunoglobulin lambda constant 7,IGLC7_HUMAN,5,3249794.75,6473967.5,1837413.5,3305528.5,6953258.5,3467775.25,5033855,2993495,5416419.5,4957779.5,3662197.75,4840885.5,3839254.5,4203861,8369104.5,4164352.5,8664212,5865302.5,4522358.5,2627015,5781694.5,4288806,6008705.5,8752504,1851132.875,2089934.25,2879748,2592899.75,8399777,18865632,3296776.75,4437037,6355897.5,5672261,4659104,6463644,5494629,5549362.5,2122169,3210271.5,6689524.5,8966783,1411586.25,3561493.25,9146345,5615271.5,6161563.5,3589134.5,2394535.25,2431805.75,6815233.5,7002961,6340118,5952845
P60709,ACTB,"Actin, cytoplasmic 1",ACTB_HUMAN,38,3334340.75,5818848.5,1468859.875,3106622.75,3917802,4802262.5,9118118,7585534.5,5564043.5,9082618,1746082.875,3383594.25,5935618.5,3008720.75,5738823,5711888,6590963,6078783,4337767,8200394.5,4912191.5,5081282,4582076,10179897,2603637,2395659.5,7146538.5,6718424,3620605.5,13295404,2469037,2828134.25,7017437,3613036,4272058.5,2806903.25,2719003.25,3722298,4895402,5723085,4394191.5,4910662,2943104.5,6283845,6752933.5,6992740.5,4064365.25,7585984.5,6993092.5,3886350.75,5073198,12734940,2755503,5195803
Q16378,PRR4,Proline-rich protein 4,PROL4_HUMAN,7,1995383.125,2408333,1192572.25,1798225.625,2130892,3081151,3447359,2912596,3747265.75,36847124,566597.5,2029245.125,3180818,1757837.625,9148151,3775592.25,5470225.5,4513344.5,2470325.25,3248109.25,1077532.5,1014747.75,1848637.75,2325325.5,522299.0313,2005585.375,9209213,2842711,2769807.5,5601023,1028822.688,2588026.75,4586441,3760292.75,8946708,840026.125,1595561.125,2448495,1545006.375,2950342.75,1681390.625,1850425.125,2484949.75,2265757.75,9964542,13461419,1662022,2524547,2278280.5,3410247.75,3350859.25,6918622.5,8785697,46722140
P15814,IGLL1,Immunoglobulin lambda-like polypeptide 1,IGLL1_HUMAN,2,7697152.5,12783913,1883029.5,4423544,8243093.5,2631859.75,9088438,3659584.25,8529596,8576532,3019300.25,6374545.5,3297504.75,2910737,10376490,5733558,7256773,3990513.5,5931424,4111433.25,4569918,2570289,9027860,6929978,951267.25,1455865.875,2709216.5,2069151.5,8979007,26810326,5425740,7659329.5,1988247.625,1305501,3346451,3997094,3264136.25,3276398.25,2718160,3033135.25,3136418.25,2779900,1137989,2784543.25,3452626,2990191.5,5196219.5,3531214.25,2292871.5,2412395.75,5524540,6839856.5,4729194,5832383
P25311,AZGP1,Zinc-alpha-2-glycoprotein,ZA2G_HUMAN,29,4357813,3498371.75,5866507,1764720.125,3373432.5,3709905,7830061,6227596,3851154,3575717.5,750468.5625,4187124.25,7448051.5,5248293.5,4067063.5,2036036,2730652.5,3216393.75,7339270,4458635,3241910,1651194.5,4564058,2819159.25,4674455.5,6089716,6278351.5,3189841.75,3848265.25,10135019,2241665.75,3258723.75,3909613,4511820.5,2897286.75,2409355.25,4612745,6386751,1786810.375,2414125,2843486.25,7281032.5,2161584,3332878.75,3721359.5,2726400.5,3763381.5,3956881.5,4432741,6929351,3785209,10478274,3538077.5,3012097
P02812,PRB2,Basic salivary proline-rich protein 2,PRB2_HUMAN,8,493244.0313,328919.5313,7082135.5,506464.1563,225879.5,283351.7813,893576.3125,1287462.875,1047137.375,402797.3125,38281.89453,426889.8125,7699627.5,6838027,482074.6563,74181.14063,256643.6875,728684.1875,3327469.5,3050640.5,1921425.875,1538629.375,2364161,275898.1563,23353738,16189303,1296411.5,983340.3125,517241.4375,2400586.25,72635.125,143806.3438,288924.5,211487.3438,2521343.75,216185.5781,17196432,31958820,607952.4375,868545.4375,1606804.625,17089106,2565334.25,6106193,110857.9297,85893.32031,1406087.75,2630559.25,204925.0625,5825688,119784.1719,676364.1875,83046.78125,3909189
P03973,SLPI,Antileukoproteinase,SLPI_HUMAN,17,3119640.5,2617920,939125.5625,1869757.75,912290.8125,2662962.25,6026459,6547609.5,2552633.25,7257884,124786.2656,2779927.5,5194986,2639413.25,3419395,3033958.5,2531291.75,5916703,4276004.5,4277629.5,1049384.75,1531589.25,5542862,6093084.5,1575587,1421783.75,8755410,4753921.5,3555846,8320702,1178240.375,1789527.75,3718159.75,9427021,1884663,862742.9375,2821972.5,2760992.5,2289447.5,1997813.875,3415630.75,3449619,830659.25,2477386,9417406,6761315.5,2613108.75,2383777.5,1045010.125,2477733,3696028.5,8907806,700427.125,1103189.625
P02810,PRH1,Salivary acidic proline-rich phosphoprotein 1/2,PRPC_HUMAN,11,1180327.5,645889.625,8692437,1270772.25,3257342.25,7081906,2771564,2863806.5,3964153.75,4012993,99483.66406,2688623.5,13187325,8132957.5,1364658.875,817205.0625,776397.875,1096680,1925930.875,1593399,2578352.75,3107246,745999.6875,365801.75,4746541.5,6403891.5,2030380.5,1116900.75,2810548,5257403.5,345840.875,473465.875,1274487.125,684162.75,3579134.75,487268.8438,8630538,5881559.5,1818058.875,1504846.625,1113893,16607007,5204192,5094906,5817846.5,1118494.75,1772312.75,2057339,740476.4375,5342235,1340738.875,2971531,610439,4633957
P98088,MUC5AC,Mucin-5AC,MUC5A_HUMAN,137,5522256.5,1851767.125,200221.0156,560234.25,3822878.75,5450327.5,6178028.5,3738191.25,4269084.5,7218800,345509.0625,2924636,3663774.25,306312.3125,732154.1875,4985065.5,1742373.625,11097505,480635.2188,382806.5,193572.125,385304.125,2098860,1729948.25,100966.2734,66763.70313,2193216,908926.3125,2200070.5,3370129.5,753540.0625,1150316.375,830137.4375,187678.9063,3459611.5,801070.4375,3270269,3753661,7595959.5,6552683.5,4953016.5,1351816.125,1622394,2116741,12421029,15454501,408707.5313,336461.9063,743792.125,251305.7031,5700402,8657134,4455930.5,6151153.5
P01619,IGKV3-20,Immunoglobulin kappa variable 3-20,KV320_HUMAN,6,1291038,2470215.5,937762.6875,2298693.5,3618839.75,2112988.75,3861559.5,1950691.5,3351826.5,3957680,842076.4375,1766199.875,1809998.625,1643704.25,2910612.25,2293527.25,7406997,4125824.75,3650807.75,2665659.5,3866215.25,2117237.25,3539521.25,3499841,596896.375,803447,3944328.25,2285330.5,3625691.5,9143761,2392069,3997703.5,4296761.5,2672924.75,3113894.25,2743197.25,3520093.5,4781046,2276457.25,2495928,3073877.75,2585560.25,1367975.25,2665314.5,2450001.5,3305408,3670081.5,2533059.5,2986258.5,2658515.75,3725368.5,4808142,3820098.75,3079400
P31025,LCN1,Lipocalin-1,LCN1_HUMAN,23,1031775.375,512660.6875,5434170,1809052.375,2816107.75,4124731.25,4679540.5,4379234.5,837453.1875,1252204.25,63621.375,4294013,4628733,6225218.5,1250870.625,1656186.125,228568.9531,1511654.375,5607950.5,3615040.5,6045854.5,2144021.75,1673843.75,271744.2188,3138219,3828062.25,7872223.5,4993485,4050333.5,5324129.5,173740.9375,134414.1563,3399209.75,2086464.875,1220444,200019.4063,1371726.5,3089403,498484.7188,309532.125,3447754.25,4373361,2438719.75,1774170.125,3672088,2763236,4514727,2105484.75,1968254.25,6063112,3141962.75,4270470,1692901.875,928703.5
P12273,PIP,Prolactin-inducible protein,PIP_HUMAN,13,1634619.75,3503164.5,6594588.5,1562438.375,1368018.25,2620701.25,3517875.75,2018356.125,2394564.25,2562855.25,386024.0938,4845702.5,7897828,4126361.25,2228443.75,1353560.75,1558694.125,1763406.5,7581010.5,1942194.375,1612599.5,1682054.625,3757165,1283608.875,2201413.75,1726498.875,1043271.125,569078.25,3318714.75,7980974.5,430578.0313,650771.5,1915990.125,3512901.5,2346697.25,510154.25,3288764.25,5698477,2462057.75,3277644.5,3094668.75,10278679,2048549.625,2366603.25,1991511.5,1188898.75,2393767.5,2626941.5,3270015.75,3939968.5,1632427.375,4255422.5,1331807.625,3702186.5
P01859,IGHG2,Immunoglobulin heavy constant gamma 2,IGHG2_HUMAN,15,2415601,1691198,310649.0313,2017936.25,6784856,4718429.5,2982757.25,3097525,2315612.5,4353289,1825544.125,1984384.5,688988.5,1403119.25,3010497,3599950.75,1195486.75,902775.9375,923433.9375,1763132.625,6192554.5,3462471.25,1486648,1946370.75,524074.9688,624558.5625,2649285,1440616,3713905.25,11000449,709803.625,772519.6875,8621260,4716201.5,1589598.375,1472944.75,906430.5625,4318686.5,2581147,2934763.5,713649.25,3254604,585330.375,1101364.125,1867750.375,3757678,1794536.875,1348820.625,2254125.75,2433337,3054246.25,4869327.5,2756381.5,3760742
Q8N4F0,BPIFB2,BPI fold-containing family B member 2,BPIB2_HUMAN,21,1545696.125,1698071.125,2239688,2072715.625,1179418.25,3572364.5,3879699.25,6525449.5,1341717.375,1256140.625,70919.42969,3111993.75,3493935,5093975,1048040.188,1269155.625,1766201.75,2046097.125,5307358,3446674,1867854.125,514913.3438,2355477.25,715241.375,1336540.125,1966986.375,4129362,3687760.5,1289553.625,4495512,423812.3125,489377.0938,1689512.75,1618022.375,1659949.625,253530.6719,1838883.375,2448595.75,1507881.75,1182293.25,4071383.5,4187932,2502389.25,2127497.75,1518198.5,1775302.125,3053887.25,1862816.875,1523041.25,4647757,2060435.75,9465485,715414.4375,580041
P05109,S100A8,Protein S100-A8,S10A8_HUMAN,18,1703345.875,3165562,704042.25,784905.25,2482716.75,2685440.25,3216885.25,1415223.375,2867123.5,3586870,2033695.625,2222241.25,2959273.25,2356593.5,1386060.75,1350941.125,4038147.5,585401.5,1276818.875,658487.875,5506292.5,10363944,954372.5,951200.5,3874933.5,3343813,900718.5625,454503.5938,874282.5,3630723.75,2368964,2036007.375,4431306,941746.75,2174745,13582241,1023826.063,1266262.375,1119450.125,1029303,717138.6875,2816306.5,797891.1875,779596.3125,1926245,538741.5625,1153892.5,563722.25,2255702,990702.875,1557875.375,2553523,269810.75,1011680.125
Q8TAX7,MUC7,Mucin-7,MUC7_HUMAN,7,2247920,732777.9375,5008438,1038827.25,1437823.75,1129538.125,4331734,5439971.5,727531.25,1199029.875,238306.2813,2015494.75,4342785.5,2559918,618280.8125,858891.375,605077.125,1438642.375,1959490.125,1780698.125,1876984.875,2397911.75,1313547.25,704216.625,5052351,5121836,1303416.25,789129.375,2086454.25,5984708.5,413553.4375,471316.9688,2344472.75,1287734.625,1918429,653528.75,1986438.875,2757423.25,772588.875,890409.5,3228777,4890599.5,2471799.5,3059343,1339959.375,1206816.5,1440136.5,1449857.875,2147181.25,5380868,3422065.75,4973452,948883.6875,1986177.625
P02787,TF,Serotransferrin,TRFE_HUMAN,93,1677786.875,1240323,330247.7813,1003990.5,4004244.25,3586870,1990937.375,2402322,1617107.125,3105161.75,1448073.625,1058183.5,1334890.75,1377726.375,2613489.25,2636968.5,1345758.25,1468269.375,1073859.75,1968050.25,4603938,2863617.25,1730682.125,2506591,512180,586730.5,3148242.25,1781428.375,1514096.375,8491686,394665.9063,629829.75,4042578,2370460.25,1371077.375,927738.4375,1109824.25,4389458.5,2430438.5,2699443,1353173.625,3160185.5,465362.4688,1007813.75,2264105.5,3695596.75,1041122.188,1369446.875,1092774.75,1526529.5,2220959.75,4348467.5,1026433.125,2576900.5
P11684,SCGB1A1,Uteroglobin,UTER_HUMAN,13,340152.625,637664.75,99865.49219,258750.6406,7789413.5,2762674.25,1131306.5,1172087.75,16092935,12372759,178324.1406,1249399.25,3289538.75,486915.3125,7424583.5,3506553.25,1421353.5,1585486.625,1447700.75,1157274.5,540229.5625,592763.9375,1211188.25,2485348.5,29838.64844,144838.9531,1783473,1233727.75,423483.6563,1540711.75,380275.7813,816759,650963,1216461.375,4291155.5,1719036.375,2345144.25,4660703.5,645235.875,1332590.5,755379.6875,1862068.5,302452.6875,655029.8125,3523835.75,1234204.375,302789.5,769333.125,191612.875,641294.4375,1217451.75,2383872,215734.5469,1780196.75
P01037,CST1,Cystatin-SN,CYTN_HUMAN,10,229059.9844,94413.66406,7522942,679316.8125,1713631.75,2345337.75,2584685,4694682,1102426.5,853834.75,21500.36328,1821694.625,6955382,2123288.5,629166.4375,528621.875,324091.2188,1512059.125,1838737.375,1141010.5,610998.4375,557764.9375,3548703.75,449704.25,2989352.75,4478485,1777077.25,1451900.125,659678.5,1731491.25,180662.6406,116158.1094,185026.5313,200336.6563,1540965.75,162376.6094,3297069.25,3915944.25,1864777.625,1198016.75,2007155.375,4772690,4327821.5,5987132,168369.4219,282474.625,733844.5,1032168.438,2695621.5,7797928,822354.5,1527857.75,465176.2188,1416564.25
P04264,KRT1,"Keratin, type II cytoskeletal 1",K2C1_HUMAN,54,3098364.25,1889835.5,6443914.5,677348.875,409965.8125,1514870.5,3268855.25,4209158,965654.4375,2121181.5,30030.36719,826659.0625,1368454.5,635261.25,278487.5,873869.375,171131.6875,947001.125,2682924,715051.0625,296296.6563,4065625.75,1068961.875,948615.4375,10605761,4289537.5,2358849.5,1867422.75,4923626,3589069.75,698625.3125,173800.5469,1956280.25,515552.4063,2397333.25,204918.3125,1175819.25,672226.25,1785825.5,711350.0625,1727377.25,2525584.5,3709065.5,2592882.75,814284.3125,2874411,2915364,2676439,1885242.875,283587.3125,733276,7781577,704098.25,396158.5625
Q8IWL1,SFTPA2,Pulmonary surfactant-associated protein A2,SFPA2_HUMAN,16,1921974.125,2404495.25,581273.8125,607092.5625,7081770.5,5748836,2894334.75,2491825.25,2104851.25,3043239.25,321922.1875,260704,2568509,158472.4063,1273400.375,3216501.5,1158728.125,1182584.75,1102404.5,1517096.125,271461.4688,917213.125,5642756,2375946.5,48819.33594,99928.42188,13161229,4765152,464574.8438,1561637.125,386381.6875,408475.8438,699563.8125,392371.25,927764.4375,218902.1406,3883273,6384142.5,4687577,2697696.25,1110848.875,458750.8438,1395950.375,1928493.75,1170769,856235.0625,589572.4375,911120,385276.8125,76511.52344,1037284.5,2372936.25,560145.4375,1047143.438
P80188,LCN2,Neutrophil gelatinase-associated lipocalin,NGAL_HUMAN,19,1011087.125,1422917.75,294013.4063,888572.5,1130045.125,1343084,2896593,1992713.375,2919842.25,2895725,1473759.5,1139073.5,3384288.75,957122.3125,1765239.5,1381854.625,2495573.5,1163986.125,1700547.625,1451474.5,976828.4375,829900.8125,1771971,2468151,486314.3125,666529.3125,3048732.25,1356165.125,1647052,5139290,3784072.5,2843337.25,3108418.75,1868242.125,1450750.375,4425800,1541260.5,3088514.25,1654190.125,3121733.25,1441760.5,1800603.875,485945.2188,921445.3125,2525314.25,1971567.125,878041.5625,1108914.875,1368258.875,1483137.875,1458200.5,3273505.25,498750.75,1792268.875
P01871,IGHM,Immunoglobulin heavy constant mu,IGHM_HUMAN,34,1128334.375,1392707,353988.2813,600552.1875,1246543.5,572767.6875,1166904.75,749258.75,737277.8125,898912.1875,396463.6563,624100.0625,1301855.5,1459585.75,2084319.125,1135869,3510146.25,3466340.25,1065628.375,869500.125,1956624.125,1323158.25,2266417.25,1917431.25,780333.25,1050994.25,4050461,2057438.125,1985986.375,5964015.5,2832050,6077902.5,2311556,1353741.75,1599031.875,1576105.875,4572461.5,5854755,2378353.75,2413883.5,1065993.25,1670428.625,571256.125,987575.9375,1017691.875,1042147.313,1629340.625,983994.0625,718281.125,518199.7188,1194540.625,1957511,1215934.875,1170300.75
